# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
167 114995049022.500000  -0.011569 0.008163 68651  -0.000009 0.002375 -0.059049 0.005380  -0.604830 0.050700   68219 -0.000003 0.002309 -0.000001
168 115001838870.000000  -0.008511 0.008660 68636  0.000001 0.002327 -0.016413 -0.071112  0.092532 -0.007757   68227 0.000004 0.002273 0.000012
169 115008628717.500000  -0.008516 0.009603 68653  -0.000001 0.002415 -0.100919 0.014991  -0.047298 0.003965   68100 0.000011 0.002337 0.000060
170 115015418565.000000  -0.009233 0.008189 68654  -0.000006 0.002278 -0.031407 0.020210  -0.444767 0.037283   68143 -0.000000 0.002207 -0.000012
171 115022208412.500000  -0.009534 0.007899 68651  -0.000002 0.002318 -0.040146 0.012218  -0.122610 0.010278   68132 0.000012 0.002247 0.000016
172 115028998260.000000  -0.008645 0.007732 68653  -0.000024 0.002323 0.033445 -0.028840  -1.658433 0.139019   68169 -0.000013 0.002256 -0.000071
173 115035788107.500000  -0.007824 0.008723 68654  0.000048 0.002191 -0.014543 -0.050444  3.281630 -0.275084   68162 0.000050 0.002130 0.000046
174 115042577955.000000  -0.008469 0.012824 68655  -0.000063 0.002370 0.080483 0.219490  -4.334526 0.363343   68063 -0.000074 0.002278 -0.000075
175 115049367802.500000  -0.011500 0.015531 68652  0.000007 0.002342 0.045385 1.048795  0.472530 -0.039610   68016 0.000009 0.002218 0.000056
176 115056157650.000000  -0.008828 0.010600 68654  0.000009 0.002380 0.096275 -0.021147  0.615876 -0.051626   68232 -0.000006 0.002316 -0.000019
177 115062947497.500000  -0.008255 0.010034 68655  0.000006 0.002364 0.099106 0.195091  0.430193 -0.036061   67981 -0.000018 0.002263 -0.000032
178 115069737345.000000  -0.007407 0.011185 68641  -0.000010 0.002333 0.101087 -0.067239  -0.667041 0.055915   68323 -0.000026 0.002286 -0.000047
179 115076527192.500000  -0.009378 0.009377 68651  -0.000010 0.002379 -0.005386 0.051899  -0.708792 0.059415   68126 -0.000015 0.002303 0.000006
180 115083317040.000000  -0.007951 0.012753 68653  -0.000013 0.002437 0.089659 0.230690  -0.909388 0.076230   68117 -0.000038 0.002348 0.000002
181 115090106887.500000  -0.012763 0.039557 68653  -0.000032 0.003281 1.757285 13.585420  -2.174284 0.182260   67474 -0.000165 0.002714 -0.000142
182 115096896735.000000  -0.019721 0.135753 68654  0.000191 0.006621 7.158424 98.176938  13.093061 -1.097530   66270 -0.000238 0.003594 -0.000226
