# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
127 98415764992.500000  -0.002603 0.003160 76739  0.000001 0.000636 -0.002158 0.104354  0.055941 -0.004582   76056 0.000001 0.000612 0.000001
128 98422399287.000000  -0.002575 0.002509 76738  0.000003 0.000621 -0.019898 0.002249  0.201179 -0.016478   76196 0.000003 0.000603 0.000006
129 98429033581.500000  -0.002537 0.002719 76749  -0.000002 0.000659 0.030760 -0.014594  -0.178892 0.014652   76194 -0.000004 0.000640 -0.000007
130 98435667876.000000  -0.002399 0.002438 76743  -0.000001 0.000621 0.004350 -0.015496  -0.052622 0.004310   76190 -0.000002 0.000603 -0.000001
131 98442302170.500000  -0.002508 0.002480 76747  0.000002 0.000619 0.024737 0.025770  0.179892 -0.014734   76149 0.000001 0.000600 -0.000001
132 98448936465.000000  -0.002518 0.002505 76749  0.000003 0.000642 0.010291 -0.063738  0.214766 -0.017590   76268 0.000003 0.000625 -0.000001
133 98455570759.500000  -0.003137 0.004000 76748  0.000001 0.000613 0.030290 0.230848  0.065854 -0.005394   76133 -0.000001 0.000591 0.000003
134 98462205054.000000  -0.002535 0.002842 76757  0.000001 0.000631 0.010688 0.012626  0.113241 -0.009275   76183 0.000001 0.000612 -0.000001
135 98468839348.500000  -0.002411 0.002757 76752  0.000000 0.000622 0.012852 -0.007784  0.017331 -0.001419   76226 -0.000001 0.000605 -0.000001
136 98475473643.000000  -0.002539 0.002474 76756  -0.000003 0.000624 0.036987 0.024917  -0.232822 0.019069   76176 -0.000005 0.000605 -0.000008
137 98482107937.500000  -0.002490 0.002706 76751  -0.000001 0.000617 -0.032945 0.023809  -0.108561 0.008892   76210 0.000000 0.000598 0.000004
138 98488742232.000000  -0.003314 0.002426 76753  0.000002 0.000620 -0.042324 0.029735  0.170922 -0.013999   76223 0.000004 0.000602 0.000007
139 98495376526.500000  -0.002463 0.002521 76765  0.000000 0.000624 0.036481 0.003581  0.031811 -0.002605   76242 -0.000001 0.000607 -0.000001
140 98502010821.000000  -0.002532 0.002653 76764  -0.000002 0.000607 0.004948 -0.013083  -0.189004 0.015480   76259 -0.000003 0.000590 -0.000003
141 98508645115.500000  -0.002986 0.002672 76767  0.000002 0.000651 0.010363 -0.016772  0.184654 -0.015124   76270 0.000001 0.000634 0.000003
142 98515279410.000000  -0.002382 0.002487 76761  -0.000003 0.000607 0.028073 -0.003993  -0.240415 0.019691   76225 -0.000004 0.000589 -0.000003
143 98521913704.500000  -0.002504 0.002526 76756  0.000000 0.000600 -0.006200 -0.025163  0.034126 -0.002795   76252 0.000001 0.000584 0.000002
144 98528547999.000000  -0.002917 0.002412 76758  -0.000001 0.000630 -0.001917 0.018820  -0.042837 0.003509   76185 -0.000001 0.000611 -0.000003
145 98535182293.500000  -0.002506 0.002477 76751  -0.000001 0.000606 0.043417 0.004216  -0.055758 0.004567   76200 -0.000004 0.000588 -0.000001
146 98541816588.000000  -0.002618 0.002785 76754  0.000002 0.000652 -0.011757 -0.002348  0.161845 -0.013256   76212 0.000003 0.000633 0.000002
147 98548450882.500000  -0.002924 0.002483 76751  0.000000 0.000612 -0.015080 -0.029913  0.030462 -0.002495   76262 0.000001 0.000596 0.000004
148 98555085177.000000  -0.002317 0.002490 76749  -0.000001 0.000595 -0.015590 -0.012949  -0.046024 0.003770   76229 -0.000000 0.000579 0.000002
149 98561719471.500000  -0.002527 0.002843 76758  0.000002 0.000621 -0.017079 0.046651  0.129554 -0.010611   76177 0.000003 0.000601 0.000005
150 98568353766.000000  -0.002368 0.002687 76755  -0.000000 0.000621 -0.008937 0.001633  -0.016157 0.001323   76186 0.000000 0.000602 -0.000001
151 98574988060.500000  -0.003091 0.002645 76760  -0.000002 0.000633 0.001573 -0.025841  -0.189214 0.015498   76246 -0.000003 0.000616 -0.000003
152 98581622355.000000  -0.002485 0.002384 76750  0.000002 0.000610 0.022632 -0.016848  0.152025 -0.012452   76238 0.000000 0.000593 -0.000002
153 98588256649.500000  -0.002785 0.002857 76766  -0.000001 0.000626 0.005318 0.037399  -0.044051 0.003608   76185 -0.000001 0.000606 -0.000001
154 98594890944.000000  -0.002644 0.002481 76752  0.000003 0.000612 0.016725 0.016603  0.231350 -0.018949   76182 0.000002 0.000594 -0.000002
155 98601525238.500000  -0.002319 0.002842 76745  -0.000001 0.000610 0.004033 0.033548  -0.055438 0.004541   76122 -0.000001 0.000590 -0.000002
156 98608159533.000000  -0.002597 0.002691 76758  -0.000001 0.000629 -0.025105 0.025231  -0.078823 0.006456   76174 0.000000 0.000609 0.000002
157 98614793827.500000  -0.002432 0.002553 76739  -0.000001 0.000601 0.020897 0.012150  -0.111285 0.009115   76188 -0.000002 0.000583 -0.000004
158 98621428122.000000  -0.002783 0.002579 76751  0.000002 0.000640 -0.004410 -0.011430  0.152158 -0.012462   76240 0.000002 0.000622 0.000001
159 98628062416.500000  -0.002470 0.002801 76743  0.000001 0.000612 0.007728 0.019423  0.067238 -0.005507   76153 0.000000 0.000592 0.000002
160 98634696711.000000  -0.002351 0.002526 76734  0.000000 0.000618 -0.013543 0.027402  0.022317 -0.001828   76172 -0.000000 0.000600 0.000002
161 98641331005.500000  -0.002699 0.002461 76749  -0.000001 0.000648 0.011408 -0.007369  -0.099533 0.008152   76205 -0.000002 0.000630 -0.000002
